127.0.0.1 - - [20/Oct/2025:09:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:12:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:30 -0300] "-" 400 -
